GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NoHits5,NoOpen5,NoMisses5,NoHits3,NoOpen3,NoMisses3,NoHits2,NoOpen2,NoMisses2
10,81,0.000198656800047229,0.00019641088202806,-0.000350327105048976,-0.000299650281239168,-0.00124765231884365,-0.00139750299927766,-0.000377193754793625,-0.0117244930516209,-0.00991862971004593,0.000318306844458741,-0.0473926158415614,-0.0189395320223851
20,100,-9.62615983470677E-05,-0.00317404079127118,-0.0039721679028947,0.000104488307078121,-0.00103577168144635,-0.00183790900052298,-0.000878058682939073,-0.0246994411475709,-0.0184736269568587,0.000418792137244007,-0.0834216746408404,-0.0420929682443369
30,89,-9.36820552761529E-05,-0.00346596972911237,-0.00401235800717602,0.000937895009005732,-0.00575846535192892,-0.00800080832912904,-0.000721304664314857,-0.0346497101007568,-0.0283984533715353,0.00289444093797892,-0.10703277925471,-0.0574262808599978
40,83,-0.00102189589456371,-0.00850934635930048,-0.00877275853928943,0.00151199948358804,-0.00640986002510402,-0.00957730925452143,0.000108023894990547,-0.045217000827894,-0.0334640539321113,0.00709703759262136,-0.121480444277833,-0.0789601287917746
50,86,-0.000775870403360223,-0.0132276740116377,-0.0145163039545427,0.00142015980510893,-0.00824129976644203,-0.011285983316515,0.00058610557160165,-0.0468898773823857,-0.0373036009734987,0.00969083367295751,-0.142816328149865,-0.0947271788209955
60,78,-0.00054877792605191,-0.01683983988711,-0.0170705673030531,0.00201922598546262,-0.0108728147638341,-0.0152468818638704,0.000419414265782015,-0.0592477848734529,-0.0466720874918172,0.0130997378076551,-0.146875273291526,-0.109478942367309
70,97,-0.000538626193725295,-0.0180029374012228,-0.018202635985261,0.00237899882503893,-0.0099938370270138,-0.0149399309623243,0.00129549814788816,-0.0657021815500555,-0.0560254636000146,0.0158677330074433,-0.163597176014649,-0.12729854803309
80,99,-0.000504307843988117,-0.0246799449886876,-0.0244775063896449,0.00258303343167701,-0.00989186051434318,-0.0148379646433416,0.000966717876217946,-0.0750928939712101,-0.068804022114725,0.0194086096581645,-0.160655391511635,-0.134397174524888
90,94,-0.000402809249598874,-0.0285842038393946,-0.029039757799728,0.00337457426273757,-0.00893862470549677,-0.0149944145498744,0.000653527149932449,-0.0811497672470328,-0.0758197297287039,0.022429486211683,-0.16836635248739,-0.150244707863763
100,97,-0.00013981376634635,-0.0283162650790909,-0.0284038738824573,0.00422949000865415,-0.0102873985182432,-0.0164040872753348,0.00231513239415116,-0.0884743249043834,-0.0866474730572052,0.0266117173480519,-0.172219928114117,-0.164053789510521
