GAMES,ROUNDS,NoHits4,NoOpen4,NoMisses4,NonHitSpaces14,NonHitSpaces24,NonHitSpaces34,NonHitSpaces44,NonHitSpaces54,NoHits5,NoOpen5,NoMisses5,NonHitSpaces15,NonHitSpaces25,NonHitSpaces35,NonHitSpaces45,NonHitSpaces55,NoHits3,NoOpen3,NoMisses3,NonHitSpaces13,NonHitSpaces23,NonHitSpaces33,NonHitSpaces43,NonHitSpaces53,NoHits2,NoOpen2,NoMisses2,NonHitSpaces12,NonHitSpaces22,NonHitSpaces32,NonHitSpaces42,NonHitSpaces52
10,84,-0.000242015405531136,-0.00207421642290633,-0.00258638443879802,0,0,-4.98621280447792E-05,-4.99862578119817E-05,-4.97137948308743E-05,0.00134544126397014,0.00228883203518402,-0.000600257427762222,0,0,0,0,-4.99513068193417E-05,0.000333253016312242,-0.0118579636388193,-0.0100269221557954,-4.97876246932762E-05,-4.95596177193807E-05,-9.81415947159484E-05,3.37443409665092E-06,-0.000441414705332482,-0.00163957301434582,-0.0426485067356028,-0.0218782010647749,0,-9.38166754697087E-05,-0.000238142456001669,-6.98810690408097E-05,-0.000437481446942473
20,86,-0.000130612252061979,-0.00580862971985514,-0.00614398259338072,5.02042281687059E-05,0,-0.000199087288129469,-0.000397761540537213,-4.91295538880512E-05,0.00184428431991649,0.00178151313321883,-0.000253856291616507,0,0,4.98623554600598E-05,0,-4.99513068193417E-05,0.00229854416264705,-0.0135648039600902,-0.0181875665343874,-4.69606191093076E-05,-0.000294909362905798,-0.000237717366157761,-0.00028165800081822,-0.000437939869378145,-0.001032188876575,-0.0832354338738145,-0.0418028857155278,5.29162852198131E-05,-0.000123036123011026,-0.000215809632718797,-0.000392282887733279,-0.00118252705616384
30,93,0.000184594308872917,-0.00573100360387311,-0.00693706113467845,5.02042281687059E-05,5.04793971126158E-05,-0.000199087288129469,-0.000397761540537213,-9.84939017087953E-05,0.00184428431991649,0.00178151313321883,-0.000253856291616507,0,0,4.98623554600598E-05,0,-4.99513068193417E-05,0.00280953214039403,-0.0247400281718824,-0.0321085029227761,3.91344906600053E-06,-0.000338086638665523,-0.000430277503414385,-0.000571998925151544,-0.00158595688121714,0.00110443380961347,-0.11668885276084,-0.0619636148722934,0.000157083447517099,-1.45088247205738E-05,-0.000361890778408263,-0.000521900615564712,-0.00166973163213987
40,85,0.000337651582904941,-0.00542495790329103,-0.0068860994069625,5.02042281687059E-05,5.04793971126158E-05,-0.000199087288129469,-0.000397761540537213,-9.84939017087953E-05,0.00184428431991649,0.00178151313321883,-0.000253856291616507,0,0,4.98623554600598E-05,0,-4.99513068193417E-05,0.00378973928957961,-0.0413301663618442,-0.0460760817880372,-4.37404214294827E-05,-0.000429997670261321,-0.000885581511129311,-0.000885972209648587,-0.00161435876572559,0.00366967699409512,-0.129273529466299,-0.0776508833662406,0.000157083447517099,-6.55628863985565E-06,-0.000588644027771775,-0.00104964548861657,-0.00236069101682331
50,90,0.000151379774328893,-0.00837685340109991,-0.011339919415092,5.02042281687059E-05,5.04793971126158E-05,-0.000197550345277068,-0.000593938219548623,-0.000392997658164295,0.00234207334060355,0.00193098245976366,0.000194142565072019,0,0,9.95537929584387E-05,0,-4.99513068193417E-05,0.00465841743744738,-0.0563730626311307,-0.0643406412078073,-0.000132207785487477,-0.000461075519836367,-0.0010438209737015,-0.0014641622928483,-0.00209753852369868,0.00694045614306702,-0.142977193582223,-0.0883000955374986,0.000210395432555809,-0.000117277582543081,-0.000589564095156677,-0.000882360617291472,-0.00277561458774465
60,81,0.000305822167041211,-0.00837198249185955,-0.0114367678560001,5.02042281687059E-05,5.04793971126158E-05,-0.000197550345277068,-0.000593938219548623,-0.000392997658164295,0.00234207334060355,0.00193098245976366,0.000194142565072019,0,0,9.95537929584387E-05,0,-4.99513068193417E-05,0.00584057824603572,-0.0619094300907295,-0.0682871553469849,-0.00017939932890509,-0.000451299155273117,-0.00153774766692404,-0.00155485193950555,-0.00176589420427038,0.0111183468651073,-0.144164816103328,-0.108049848852209,8.38823524326498E-05,-0.000352186504771947,-0.000615464386807688,-0.00173261115726024,-0.00281524429298642
70,80,0.000349845891110266,-0.0111671468052812,-0.0139463427231534,5.02042281687059E-05,0.00015251810103224,-0.000342657064298763,-0.000441400834987235,-0.00039078464875894,0.00318273509647842,-0.00202151654843124,-0.00309796010016807,0,-5.03928018104049E-05,0.000149594977594213,2.20876716513103E-07,0.000100025096512101,0.00724006259076524,-0.0724282633625551,-0.0789936461181901,-0.000227823011627396,-0.000451299155273117,-0.0017489797242099,-0.0019696386216043,-0.00190118882334133,0.0149991571393661,-0.149074233673861,-0.115853593626897,8.38823524326498E-05,-0.000295408608210021,-0.000855851685946068,-0.00179543801856143,-0.00261568614394307
80,89,0.000349845891110266,-0.0111671468052812,-0.0139463427231534,5.02042281687059E-05,0.00015251810103224,-0.000342657064298763,-0.000441400834987235,-0.00039078464875894,0.00398648329718709,-0.00140296664509917,-0.00338470199909364,0,-5.03928018104049E-05,9.98463668513922E-05,2.20876716513103E-07,-4.92648614519056E-05,0.00829319824135741,-0.0771639126975314,-0.0869388435776728,-0.000312044576854974,-0.000490228942797087,-0.00156850934856038,-0.00199479994029956,-0.00164115032268773,0.0192224505566019,-0.167402674208987,-0.133023740847331,0.000148385258506593,-0.000595891026043374,-0.000861934390959192,-0.00192189609057568,-0.00283455854832244
90,83,0.000330513462050507,-0.0117655532509105,-0.0148313022865281,5.02042281687059E-05,0.00015251810103224,-0.000342657064298763,-0.000441400834987235,-0.000582987811362712,0.00458666189233291,-0.000990577115350521,-0.00357617508866735,0,-5.03928018104049E-05,9.98463668513922E-05,2.20876716513103E-07,-9.89615183368221E-05,0.0094291283836051,-0.0849180476381558,-0.0915344609873957,-0.00036001452283332,-0.000490228942797087,-0.0015351540149591,-0.00191842061442012,-0.00160118670147095,0.0240109580595862,-0.170403594841044,-0.147779065992829,0.000222576882467515,-0.000416753696291384,-0.00128183400997009,-0.00189474946234714,-0.00314356717134224
100,84,0.000794545927934516,-0.0173584414072467,-0.0191631487795999,5.02042281687059E-05,0.000102894069781389,-0.000342657064298763,-0.000725082598773356,-0.000631060692259811,0.00483450630222129,-0.000342179381250137,-0.00362617154408753,0,-5.03928018104049E-05,9.98463668513922E-05,2.20876716513103E-07,-0.000198567736484392,0.0114579394674369,-0.0937063782293651,-0.107224940025221,-0.000394035882009454,-0.000629989341096942,-0.00194632397940906,-0.00244495294479701,-0.00140072912681262,0.027150077884915,-0.170437342860248,-0.15358538303516,8.66366340436765E-05,-0.000757878406773196,-0.00121635801746387,-0.00201494953025766,-0.00322034981266966
110,83,0.00112834803795282,-0.0185293528645117,-0.0189160586134791,5.02042281687059E-05,0.000102894069781389,-0.000341221414917025,-0.000674145569083259,-0.000578777086206594,0.00507990093157479,-0.00064443190553176,-0.00347754875387844,-2.19129045906365E-07,-9.79961320658458E-07,0.000149830458764243,2.20876716513103E-07,-0.000198567736484392,0.0125969164045604,-0.0951073348203202,-0.112209439962554,-0.000289543925045617,-0.000767315248232102,-0.00197876555756893,-0.00212990035704512,-0.00186621993923115,0.031654594593269,-0.176803229141956,-0.166971019391379,5.57517040072531E-05,-0.000696942424722257,-0.00147418756525118,-0.00189118610852804,-0.00360125969790707
120,81,0.00144034079808864,-0.0226778760117707,-0.0235409232326708,5.02042281687059E-05,0.000102894069781389,-0.000341221414917025,-0.000722699487359292,-0.000722991351607452,0.00557551640665895,1.54414227437964E-06,-0.00337743428248252,-2.19129045906365E-07,-0.000200745046639259,0.000149830458764243,2.20876716513103E-07,-0.000198567736484392,0.014736260244271,-0.101838147352333,-0.118442917923949,-0.000372961322382791,-0.000779434990148954,-0.00229059490419651,-0.00233517552986683,-0.00235441364563528,0.0360427673346721,-0.177638255952673,-0.17478245541861,0.000109146182253848,-0.000742683458322861,-0.00147418756525118,-0.00205501862434862,-0.00381116424351358
