GAMES,ROUNDS,NoHits4,NoMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoHits5,NoMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoHits3,NoMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoHits2,NoMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52
10,88,-0.000141932845292012,-0.00581616899221195,-4.95416681212216E-05,-0.000197358707246572,-0.00024716142918438,-9.84479308612327E-05,-0.000147076104581403,0.000400149926209919,0.000200097331539981,6.74855278532649E-08,0,0,0,9.99412145251942E-05,0.00110970269465983,-0.0200927726375451,-0.000675662020326341,-0.000530400433625186,-0.000866353098222742,-0.000680558477936711,-0.000612371943029737,-0.000576749585499759,-0.021328943845614,-0.00103390210803248,-0.000625648595374137,-0.000834932752149958,-0.000736692488260058,-0.00163046482334595
20,86,2.7937993454614E-05,-0.0142478181053992,-9.5399935822824E-05,-0.000289176760103851,-0.000588832868932856,-0.000341374717235045,-0.000532450213868161,0.000809784544652383,-0.00224641496061878,-4.89802755863731E-05,-4.94333169487291E-05,-0.000149065259506789,-4.97903142365572E-05,-9.90448504807008E-05,0.00186931134552274,-0.0271504510136779,-0.00130659972321801,-0.000910589462448134,-0.00147321529825576,-0.00145254680331965,-0.000588057348743744,7.34649188682434E-05,-0.0382682997277439,-0.00126324180506324,-0.00130589071378754,-0.00164303155750671,-0.00175475952002602,-0.00263780390227475
30,87,0.000290993713959716,-0.014424663227878,-0.000144675497730046,-0.000237742008036623,-0.000538121417773297,-0.000488438010886294,-0.000481723689955296,0.000873879301424845,-0.00578877141757797,-4.89802755863731E-05,-0.000197412126878131,-0.000248092957751924,-0.000197296186113869,-0.000197897954041087,0.00180428616160241,-0.0354719006011107,-0.00143278186837961,-0.00171967481228697,-0.00212624173332333,-0.00235376341385672,-0.00116280378174929,-0.0005962621278118,-0.0593926118945942,-0.00174617170554359,-0.00237796253254484,-0.00271433166357905,-0.0029892688417126,-0.00327501785771526
40,83,0.000290993713959716,-0.014424663227878,-0.000144675497730046,-0.000237742008036623,-0.000538121417773297,-0.000488438010886294,-0.000481723689955296,0.00106767655330325,-0.00861509326386973,-0.000196969085163189,-0.000294389320297873,-0.000393807938566656,-0.000244966203560109,-0.000343868699291246,0.00254529396118141,-0.0422465721879331,-0.00150797596541334,-0.00250286468894869,-0.00263316440639865,-0.00276445197534555,-0.00220041448598195,0.000730590166271926,-0.0689084235061057,-0.00190718825057484,-0.00325719579121919,-0.00326261866442297,-0.00362483082717886,-0.00421317184680609
50,85,0.000766573921934952,-0.01343657116956,-0.000144675497730046,-0.000237742008036623,-0.000485480603236968,-0.000376781945869181,-0.000575634999879715,0.00162615780210483,-0.00800166026515753,-0.000196969085163189,-0.000294389320297873,-0.000393807938566656,-0.00019462577057011,-0.000293581414519791,0.00194858438196576,-0.0502636904037039,-0.00193253608859002,-0.00271393003860169,-0.00275632903285628,-0.0032028673438849,-0.00282074050693205,-0.000373638839029294,-0.088830429467378,-0.00274574693876183,-0.00441884036837896,-0.00527451922925098,-0.00532859817105493,-0.0053490541074978
60,84,0.0016873783402934,-0.0128231372861064,-0.000144675497730046,-0.000237742008036623,-0.00043427339389624,-0.000376781945869181,-0.000575634999879715,0.00145348590806038,-0.011974012787575,-0.000245783663403365,-0.000538806392218507,-0.000640732763409027,-0.000441033706792799,-0.000489967903713128,0.00319831802317963,-0.0595531619219978,-0.00218582067112677,-0.00302048020371375,-0.0032553603758935,-0.00378666304145253,-0.00329528189470967,-0.00104292843703837,-0.0991535693457676,-0.00325610728730839,-0.00484814244769623,-0.00596216701248071,-0.00656268051214445,-0.00604194907893753
70,88,0.00168976988076251,-0.0147653625870829,-0.000238293318655133,-0.000434478461319411,-0.000575635891018967,-0.000574343808303161,-0.00067305456004948,0.00167122865565462,-0.0132908797121659,-0.000337591401079261,-0.000633658262974702,-0.000726609803597066,-0.000483548379116253,-0.000585725709623651,0.00458358167995295,-0.0605924458109518,-0.00207915500920421,-0.00292560809096467,-0.00314396210093853,-0.00375615256492284,-0.00354372384898931,-0.00115644364329169,-0.121067180208096,-0.00363056768030689,-0.00598828917790266,-0.00703306873991122,-0.00812351083601291,-0.00768273764934249
80,80,0.00186163432547176,-0.0143329218549146,-0.000238293318655133,-0.000434478461319411,-0.000524374638983608,-0.000623124350492235,-0.000518922819329794,0.00187811259811132,-0.0132754764844742,-0.000286321426939284,-0.000633658262974702,-0.000726609803597066,-0.000532861921569315,-0.000733685656362707,0.00483276854945537,-0.0636425270229658,-0.00212694159096961,-0.00307127094838,-0.00357912907420907,-0.00421274909042263,-0.00383291205971051,0.000645306072556007,-0.132357186786225,-0.00347546925951107,-0.00649875228479185,-0.00771129965895912,-0.00923287149712764,-0.00868125587185554
90,83,0.00186163432547176,-0.0143329218549146,-0.000238293318655133,-0.000434478461319411,-0.000524374638983608,-0.000623124350492235,-0.000518922819329794,0.00254201998485232,-0.0148271534180271,-0.000334693821207209,-0.000731519114311254,-0.000771065668006376,-0.000578386687884551,-0.00111929641566974,0.00613742231252727,-0.0728788496788305,-0.00262129064098892,-0.00386841122626808,-0.00476406155608485,-0.00513845360089243,-0.00448488951629002,0.000273779210394917,-0.138305558253676,-0.00394877252303259,-0.00668142667948861,-0.00859930532019455,-0.00993503817784499,-0.00930748477763427
100,80,0.00188262002081543,-0.0193547751998789,-0.000481096133640275,-0.000724788931217461,-0.000709023472062782,-0.00101010256950507,-0.0009577464748469,0.00270638597990173,-0.0153007784428333,-0.000332655692301527,-0.000780725070356909,-0.000771065668006376,-0.000676819784853836,-0.00111929641566974,0.00692845329841594,-0.0748313274738324,-0.00252537531286761,-0.00399517034526636,-0.00527697541852851,-0.00544496784714733,-0.00471720628327121,0.00062647578586032,-0.146421362435467,-0.00394637774762771,-0.00666691394118799,-0.00895529904582292,-0.0104956571422899,-0.00986439298777145
