GAMES,ROUNDS,NoHits14,NoHits24,NoHits34,NoHits44,NoHits54,NoMisses4,NoHits15,NoHits25,NoHits35,NoHits45,NoHits55,NoMisses5,NoHits13,NoHits23,NoHits33,NoHits43,NoHits53,NoMisses3,NoHits12,NoHits22,NoHits32,NoHits42,NoHits52,NoMisses2
10,86,-0.0222511697639771,-0.00759928819178832,0.0151044546393016,0,0,-0.230337386992056,-0.0182569222570317,-0.0046087969429261,0.00598138373164288,0.000215562462616717,0.00574990582715819,-0.205831712783474,-0.0262313478535944,0.0391831826260079,0.0319924308791559,0.00196291160488472,0.00271230598047236,-0.124642886758646,-0.0888460861332028,0.130285989567704,0.0395568492960606,0.0331487901860457,-0.0082233639275657,-0.562629317068836
20,80,-0.0457633736030073,0.00499655029209502,0.0375065643343259,0.00732916055610811,-0.00546339820954662,-0.224751873581451,-0.0182569222570317,-0.0046087969429261,0.00598138373164288,0.000215562462616717,0.0126871233362913,-0.178141880397018,-0.0664366056351547,0.0896964800694982,0.0700636859515366,0.00262886465636181,0.00271230598047236,-0.331943519475706,-0.0549573985481228,0.215008043042765,0.0989758881688755,0.043717465588502,-0.0137973862662664,-0.484624611049002
30,89,-0.0674514262584683,0.00499655029209502,0.0600197203412586,0.00732916055610811,-0.00546339820954662,-0.215315366101409,-0.0223313651550422,-0.00148598945501647,0.00598138373164288,0.0167723393373749,0.0126871233362913,-0.192643608792949,-0.119655792665747,0.136499720090974,0.0972300909696821,0.0343946553975426,0.000636766638672643,-0.42661074534788,-0.0628025259942441,0.309556501059674,0.135189631752168,0.0602588658280808,-0.0212021330598433,-0.506717280175795
40,86,-0.0674514262584683,0.00499655029209502,0.0600197203412586,0.00732916055610811,-0.00546339820954662,-0.215315366101409,-0.0491778487508878,0.00605118206544162,0.0232946538307485,0.0306678769626948,0.0126871233362913,-0.1333966488158,-0.0872382817912812,0.15150012363501,0.10856971358043,0.0330584962991618,-0.00617622455055109,-0.331014591098927,-0.0149645836965282,0.380316364110082,0.205300750165317,0.0840807659139563,-0.0111780207355531,-0.51623420974481
50,82,-0.0784433184526688,0.0182938249776393,0.0836547074639913,0.0134950050778892,-0.00546339820954662,-0.116794312860315,-0.0541361534032526,0.00605118206544162,0.0232946538307485,0.0396760635007309,0.0126871233362913,-0.207626863055869,-0.122270266307187,0.186189936610199,0.10856971358043,0.0424634206365614,-0.011747912991961,-0.344081946855651,-0.0309497900112432,0.524392449803971,0.250255271379821,0.0928481586811675,-0.0136127731918851,-0.569457567776306
60,84,-0.0784433184526688,0.0254067341978355,0.076342917370322,0.0204900051157659,-0.00546339820954662,-0.186682161494473,-0.068418701259536,0.00605118206544162,0.0232946538307485,0.0459932198290776,0.0126871233362913,-0.267416946050894,-0.103326334207398,0.219043159911164,0.126433386839951,0.0493116351825388,-0.011747912991961,-0.334382348969789,-0.0436730967593952,0.621925103249725,0.301451612285728,0.137179667981388,-0.0160467062600284,-0.52897124388568
70,87,-0.102596175719595,0.0329352491035129,0.0951429269997244,0.0177977658728374,-0.00546339820954662,-0.247296744649252,-0.078297115795693,0.00605118206544162,0.029546326215494,0.0478759589627077,0.0126871233362913,-0.31002626309295,-0.106705565057785,0.241643130292615,0.129585592734113,0.0541483454472253,-0.00476062897335058,-0.383856434908168,-0.0563551484275984,0.714737727496016,0.354135833312567,0.15193475220807,-0.00717379119039157,-0.527620137866186
80,87,-0.102596175719595,0.0329352491035129,0.0951429269997244,0.0265637188330736,-0.00546339820954662,-0.177245232988533,-0.0750150313166781,0.0137503739259742,0.0369758897567638,0.0478759589627077,0.0126871233362913,-0.243073033725807,-0.117344412681706,0.274380613958131,0.147914448303658,0.067232046631702,0.00620939018480224,-0.453348837533886,-0.0201307783777858,0.800389546534168,0.380182445306258,0.17934968390856,-0.0110795144853214,-0.562506022707607
90,83,-0.11448486162739,0.0294231250486929,0.109382439460004,0.033192511473531,-0.00546339820954662,-0.147278819723559,-0.0752938982842042,0.0194817296596784,0.0389023389124755,0.0591721476438053,0.0126871233362913,-0.261476344527726,-0.0899483228827083,0.284263994161618,0.158379241814363,0.063866601176159,0.00494787572837677,-0.529810490092904,-0.00312257912840946,0.88742432753904,0.432842613278475,0.208539925266843,-0.0080545045138956,-0.467031007221698
100,73,-0.166546242458915,0.0368520141243371,0.112991001662924,0.033192511473531,-0.00546339820954662,-0.214859956945089,-0.0730733421903301,0.0194817296596784,0.0459189413977042,0.0731730134977029,0.0126871233362913,-0.168715643724554,-0.0972899810894961,0.329074564309367,0.162580346191874,0.077378151223979,0.00154938274542158,-0.567799428058832,0.00725307873582705,0.873300197469627,0.449237750174956,0.20873860903083,0.00696828451132783,-0.701114254233936
