GAMES,ROUNDS,HitSpacesInRow4,HitSpacesInRow14,HitSpacesInRow24,HitSpacesInRow34,HitSpacesInRow44,HitSpacesInRow54,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,HitSpacesInRow15,HitSpacesInRow25,HitSpacesInRow35,HitSpacesInRow45,HitSpacesInRow55,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,HitSpacesInRow13,HitSpacesInRow23,HitSpacesInRow33,HitSpacesInRow43,HitSpacesInRow53,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,HitSpacesInRow12,HitSpacesInRow22,HitSpacesInRow32,HitSpacesInRow42,HitSpacesInRow52,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
10,69,-0.0177425344277059,-0.0566764411123572,-0.00575772209179281,0.0166994370871074,0,0,-0.440445279768835,-0.00114560531449547,-0.0205641865537261,-0.027519920210973,-0.0407960260971684,-0.0118259713956423,0.0103403508732617,0.00506252517975041,-0.00443410805059763,0,0,0.00228875170715196,0,-0.0485599613923854,0.00543891832025311,0,0,0.00105617102782553,0,0.00110601871873415,-0.0210967141852082,-0.0363160470040708,0.00614189865793985,0.00625788300231915,-0.00390452341852082,0,-0.150531263263461,0.00327766540304441,0.000868342647947303,-0.00936061362891539,-0.0087313266576013,-0.0207549310270903,0.0829606070719697,0.0637390412223437,-0.0423601596076298,0.0208273630658658,0.0208609751271024,0.0230734917401573,-0.0178491691057012,-0.254935002131805,-0.0331263143874084,-0.0027201799589686,-0.0530723912876063,-0.0420609480209512,-0.0532805257953706,0.178971462805877
20,66,0.0817880167669497,-0.0696363358498242,-0.00894710263556111,0.0367987353602581,0.00830496712898184,0.004378419512852,-0.42255268227609,-0.00114560531449547,-0.0205778536130246,-0.0331818065680153,-0.0519265794545763,-0.00927891074006865,0.0458252574139304,-0.0140894356097598,-0.0654965621688993,-0.00327226064433226,0.00266840315013274,0.0177269221846198,-0.00429621814365654,-0.370918065565972,-0.00738564674588254,-0.00963292177731558,-0.0349689696559946,-0.0112791267978705,-0.0238762602482463,0.0225996597409503,-0.000116257512866912,-0.129177905162671,0.0570121367306842,0.011424354703195,0.00113152788260662,-0.00473649091676315,-0.388741973083076,-0.0176828263589618,-0.0377716764479081,-0.0653001317910225,-0.0722797224703835,-0.0473493497554184,0.202592998757423,0.0746541618208572,-0.108850526285537,0.0821466326379809,0.0568949328414709,0.00806511304363398,-0.0321048647930692,-0.328421238740253,-0.0417555736156555,-0.0171154473541183,-0.0664503234810962,-0.0559221449370292,-0.0938370416931557,0.290337510493366
30,62,0.133982856330282,-0.0696363358498242,-0.00894710263556111,0.053919293628003,0.00830496712898184,0.004378419512852,-0.357462478519952,-0.00114560531449547,-0.0205778536130246,-0.0257992298512771,-0.0461553259886775,-0.00165407559519065,0.0534362561739966,0.0491627520054773,-0.0684219312258373,-0.00327226064433226,0.00266840315013274,0.033878063426985,-0.00429621814365654,-0.383970576458341,-0.015334924736361,-0.0156420933793109,-0.0349689696559946,-0.0143629314162523,-0.026881615277197,0.0304393567123977,0.0647301673754591,-0.133061481731354,0.076286242811453,0.0303716852211538,0.00139456167183635,-0.010188076395452,-0.306358165014883,-0.0297044108847547,-0.0232203006387539,-0.0510107790827093,-0.0970225159203925,-0.073565622448995,0.29675234952941,0.0718032053584656,-0.157053707269268,0.130762642241053,0.0511390673025596,-0.00320685251250558,-0.028523613843359,-0.547104562299449,-0.0372446642933543,-0.0509397891500671,-0.104855738304642,-0.0710670842446131,-0.163813419472747,0.378087925450498
40,59,0.140969820953846,-0.0804063257030962,-0.00956988281843888,0.0623845153142484,0.00664289017805424,0.004378419512852,-0.353696636772482,-0.00577484794175611,-0.0152393353743197,-0.0314703820195499,-0.0615035036953404,-0.00709983232208313,0.0559718534273695,0.0491627520054773,-0.0684219312258373,-0.00327226064433226,0.00266840315013274,0.033878063426985,-0.00429621814365654,-0.383970576458341,-0.015334924736361,-0.0156420933793109,-0.0349689696559946,-0.0143629314162523,-0.026881615277197,0.0304393567123977,0.00709464571666362,-0.160412552596418,0.0661966247143408,0.035439205981946,0.0066986986157682,-0.0190963013207512,-0.283997878912488,-0.0419565676850931,-0.0232203006387539,-0.0599810387485761,-0.0895105932087852,-0.0908441071604313,0.306649547663157,0.0241203850240317,-0.249162736608274,0.193621794104728,0.101998657811666,-0.01159284095237,-0.051786447809292,-0.581797010336136,-0.0357213621308697,-0.0979523930346845,-0.121360428239855,-0.185265064332637,-0.200747479419832,0.506869360356126
50,63,0.154566988984319,-0.129439980927965,-0.00883077933901044,0.0916799682923216,0.00301407396280574,0.0018789935340264,-0.439066300873919,-0.0125857807893454,-0.0261833707423388,-0.0355767788523602,-0.0859994426648236,-0.0308715798216167,0.0900454844729247,0.120422797997754,-0.0985572780145701,0.00330182208275447,0.0108357322174102,0.0492885457169219,-0.00429621814365654,-0.391540584316513,-0.00798267660689496,-0.0254177074020535,-0.0417621495782905,-0.0277746449544159,-0.0335230960397322,0.0662798332937481,0.0533225424696336,-0.158291958613132,0.0780432376519979,0.0420399006637573,0.0066986986157682,-0.0190963013207512,-0.250407165529102,-0.0455334067424218,-0.0207061092933104,-0.0562996613703856,-0.0929475718729593,-0.0974049926708041,0.326491296344298,-0.00371581819005996,-0.272683564016811,0.267691692800692,0.116406135655301,-0.00241230326231235,-0.085533923575616,-0.544272142182006,-0.0384852140765213,-0.154622659381952,-0.139671677473261,-0.228919915885778,-0.254661509970719,0.638721845712702
60,59,0.183102543885121,-0.142088120390662,-0.0033009937769201,0.0939831303916665,0.00856192867221299,0.0018789935340264,-0.403987242968718,-0.0125857807893454,-0.0190558333061757,-0.0349844548277969,-0.0857062505928584,-0.0388652649804818,0.0971584071850738,0.120422797997754,-0.0985572780145701,0.00330182208275447,0.0108357322174102,0.0492885457169219,-0.00429621814365654,-0.391540584316513,-0.00798267660689496,-0.0254177074020535,-0.0417621495782905,-0.0277746449544159,-0.0335230960397322,0.0662798332937481,0.0547374744217707,-0.144542884526627,0.0885318670941615,0.0472107385056478,0.00200439132051645,-0.024706323844439,-0.262412025328631,-0.0353015777599805,-0.0239545735606854,-0.0690888856702625,-0.0944190191785163,-0.117739014649494,0.344211925510268,0.00793635727607942,-0.321002134899317,0.322338526061094,0.112561004074627,0.0240334088953909,-0.0946993509027657,-0.656099353220776,-0.0671916172888493,-0.142180119534597,-0.178008296548596,-0.2552620952128,-0.256438658176169,0.779443882801098
70,57,0.175754468828885,-0.167196870739768,-0.00284533673569576,0.0994924115861359,0.00856192867221299,0.0018789935340264,-0.392541433410441,-0.0125857807893454,-0.0131612888538934,-0.0447741753430774,-0.0857062505928584,-0.0388652649804818,0.0971584071850738,0.151828880113799,-0.116764757305388,0.00330182208275447,0.0165503751914026,0.0570584792036987,-0.00429621814365654,-0.386927104660692,-0.00595557782638618,-0.00841042680712984,-0.0466577593759509,-0.036612000503149,-0.0513822392244969,0.0741101525049822,-0.0977138599425753,-0.149484666598118,0.0756687225874237,0.0395468405979783,-0.00989089609833119,-0.0281792974208367,-0.404365297722204,-0.0424773760132788,-0.0405194950181485,-0.0898843617034002,-0.142748425102019,-0.132774610674962,0.351863789637362,-0.0939172023352672,-0.354405822905282,0.340498607784668,0.123921031468927,0.0130408026168148,-0.104825961861767,-0.641689240611994,-0.0655740872126868,-0.118354527281335,-0.19478265310668,-0.302950597942717,-0.284656760822097,0.822648797716399
80,61,0.202170097932762,-0.181597030205955,0.00643694673482446,0.106741082622374,0.00856192867221299,0.0018789935340264,-0.372980426923687,-0.0156137854927632,-0.0113737789723952,-0.0428625417305558,-0.0894932278349243,-0.0426986282119567,0.119824950400594,0.215372729640809,-0.133820177167098,0.00910643740028834,0.0216874839887099,0.0698697117706267,-0.00429621814365654,-0.33349195617214,0.00485138915357848,-0.0124593331744021,-0.0466577593759509,-0.036612000503149,-0.0614125330700077,0.103766335317487,0.0425835239667331,-0.168117237287603,0.111659067287748,0.0625227108620587,-0.00139856140171652,-0.031697711533409,-0.396110144304686,-0.0342143020380301,-0.0502040578323016,-0.113262438173613,-0.142002301821837,-0.147140811415839,0.432776245748199,-0.0748481847237729,-0.292206686472887,0.385917233069242,0.0877801099210857,0.0287497297392299,-0.121561466269758,-0.56940782146867,-0.0470760950329014,-0.11190985152061,-0.188215532278543,-0.341728618632097,-0.306396864325529,0.87709932685992
90,57,0.216036373795749,-0.199573999697891,0.0115584912590833,0.126974041183553,0.00856192867221299,-0.00570596990148697,-0.330846921382936,-0.0156137854927632,-0.00631610439256757,-0.0390842981134684,-0.0878150278296692,-0.0475918978565913,0.140109052163286,0.191865038171017,-0.11497465676965,0.0191325805545248,0.0118271990096215,0.0678524786201627,-0.000428658832676928,-0.315177099514919,0.00459432537695367,-0.00753614145611142,-0.0416048674311626,-0.0417495758570528,-0.0584648138178705,0.0979703361146705,0.0866009887405423,-0.196038808245627,0.114789881011963,0.0787243611176424,-0.00274298141924191,-0.0276131569001022,-0.451150322986674,-0.0394181499074185,-0.0537743780794871,-0.131176603444303,-0.138945358326266,-0.160437378045352,0.472144020948681,-0.197995624373733,-0.284872994406887,0.420112831544381,0.0185016751268994,0.0465517721288984,-0.133024241592816,-0.565718432771148,-0.0782775807905804,-0.140661126576496,-0.177413285376861,-0.338206568906848,-0.32529817196317,0.872908624466234
100,60,0.213715746153041,-0.211755813012705,0.00296658847804267,0.146216815243855,0.00856192867221299,-0.00570596990148697,-0.302575296836259,-0.0156137854927632,-0.00830049165251708,-0.0390842981134684,-0.0815092794117715,-0.0475918978565913,0.147884268754651,0.191865038171017,-0.11497465676965,0.0191325805545248,0.0118271990096215,0.0678524786201627,-0.000428658832676928,-0.315177099514919,0.00459432537695367,-0.00753614145611142,-0.0416048674311626,-0.0417495758570528,-0.0584648138178705,0.0979703361146705,0.136027628570402,-0.216388922439334,0.0911112639917999,0.105971090878964,0.015283606127592,-0.041197024951625,-0.547242088785946,-0.0385570575057825,-0.0767420686110078,-0.148348833251016,-0.177826407041204,-0.154619353100517,0.53720935007118,-0.183205561764427,-0.31124432493642,0.413443761870304,0.026363301622736,0.0471793296018746,-0.127808319530874,-0.584488391814739,-0.044275550198607,-0.131111665771777,-0.202974722007424,-0.363673996914764,-0.366088926838323,0.909383462711758
