GAMES,ROUNDS,HitSpacesInRow4,AdjMisses4,NonMissSpaces14,NonMissSpaces24,NonMissSpaces34,NonMissSpaces44,NonMissSpaces54,NoDiagHitsWithAdjHit4,HitSpacesInRow5,AdjMisses5,NonMissSpaces15,NonMissSpaces25,NonMissSpaces35,NonMissSpaces45,NonMissSpaces55,NoDiagHitsWithAdjHit5,HitSpacesInRow3,AdjMisses3,NonMissSpaces13,NonMissSpaces23,NonMissSpaces33,NonMissSpaces43,NonMissSpaces53,NoDiagHitsWithAdjHit3,HitSpacesInRow2,AdjMisses2,NonMissSpaces12,NonMissSpaces22,NonMissSpaces32,NonMissSpaces42,NonMissSpaces52,NoDiagHitsWithAdjHit2
10,69,-0.00443919594922064,-0.418566659543655,-0.0109065530396682,-0.0297114516321083,-0.0109366463640809,-0.0138477961770951,-0.00970860810216054,0.0206494211888088,-0.0262894392426302,-0.249380988711117,-0.00928899471675637,0.000770295182594889,-0.00927794671715126,-0.00424546782594238,-0.0093135031919159,0.0052621470412887,-0.013110240766458,-0.425042190107042,-0.0107876814030681,-0.0275801584676346,-0.0533626867864141,-0.0309304444696044,-0.0056732056805858,0.0884301622735635,-0.0689109271724916,-0.312589913586371,-0.0254367776537692,-0.0200927065540188,-0.0427857275861257,-0.0518718571688979,-0.0541443300738101,0.165167088684474
20,62,0.0486440097056296,-0.411597817706687,-0.0147471280830204,-0.0267457999178455,-0.00147949647594509,-0.00716394601653126,-0.0173738695451709,0.0521043696704775,-0.0122847695428726,-0.309175199555716,-0.00928899471675637,-0.00642720778611296,-0.0113369809519546,-0.00855831767126797,-0.00590137325013382,0.0130976534869441,0.0879840411739237,-0.344965059113421,-0.00979696981459324,-0.0187228623373833,-0.0468147559933998,-0.0331110482555724,-0.0107833553640349,0.16596567182288,-0.00440452927452619,-0.458930093305934,-0.0263535075375067,-0.0726221474331801,-0.0567764393261695,-0.0577744387917421,-0.138593693220017,0.367531395635699
30,63,0.0486440097056296,-0.411597817706687,-0.0147471280830204,-0.0267457999178455,-0.00147949647594509,-0.00716394601653126,-0.0173738695451709,0.0521043696704775,0.004584943997942,-0.361619577483502,-0.0110702002961555,-0.00642720778611296,-0.0129895674504495,-0.00428132061290765,-0.0113479136201237,0.0130976534869441,0.211584825167753,-0.335289126609426,-0.00817542136949963,-0.00117585923783337,-0.0639165719469228,-0.0707383715356808,-0.059142808828904,0.255649205744019,-0.0263511809224351,-0.563120414142649,-0.0371833258940325,-0.0960968958839838,-0.0994358509345362,-0.0849239487620078,-0.19796722900368,0.513357279647814
40,58,0.114480494180985,-0.385924301851814,-0.0118695922449521,-0.0440141715034455,-0.00555734996519349,-0.00716394601653126,-0.0294000949897495,0.0863971588617535,0.0118078959951198,-0.441023032199202,-0.0179241953275849,-0.0134069338343836,-0.019838532505618,-0.0230401717137785,-0.0141593506038043,0.0130976534869441,0.236528113888368,-0.384401230885848,-0.00255920700194174,-0.0149735104569465,-0.0879321880192705,-0.120343376337269,-0.0853900648163144,0.343884890321921,-0.034104751111445,-0.506734254280289,-0.0606559969877858,-0.0810779464008698,-0.126933288004883,-0.109644350305127,-0.199605174678913,0.614338510559431
50,61,0.131054905375947,-0.407838726304083,-0.0229134194758111,-0.0508959036932969,0.0144156080102072,-0.0166459230932077,-0.0500190578780756,0.121477333265746,0.0846224196853533,-0.431236568158711,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.0207439842432221,-0.0310654035565455,0.0337649228627678,0.0300023863521285,-0.570148445283858,-0.0350050858782757,-0.00593290177641059,-0.0915496772509848,-0.16420520900596,-0.0962986770387955,0.349215993466924,-0.0111350900781151,-0.500032378304052,-0.0739839477175461,-0.101782748724151,-0.135896317800666,-0.125331324413857,-0.217130760495143,0.700657805286301
60,62,0.15745132620467,-0.402925159562118,-0.0107879286050695,-0.0453103819666849,0.0213754335826644,-0.0311623930593907,-0.0641776778496391,0.154675801002481,0.139331780354912,-0.369820999846254,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.0207439842432221,-0.0310654035565455,0.041515598047843,0.115171391030421,-0.529753930394568,-0.0322970492141012,-0.0167874031572511,-0.0903868478505544,-0.187868297583191,-0.100248041719028,0.394831656328074,-0.0319139425534591,-0.532803252754609,-0.0938816337589984,-0.11631391099752,-0.160718600339363,-0.16955931233032,-0.237528562893471,0.771375476458229
70,59,0.202038691382841,-0.361743175996726,-0.0107879286050695,-0.0437754230335859,0.0173245649600053,-0.0201783409065253,-0.0517362809174353,0.156246605179537,0.139331780354912,-0.369820999846254,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.0207439842432221,-0.0310654035565455,0.041515598047843,0.232384579694002,-0.418174602912497,-0.0173799057530062,-0.0322637654845258,-0.118448509094228,-0.188996684652376,-0.0989687754503558,0.439257715769119,-0.100392953641816,-0.506721390254529,-0.108510488518255,-0.154570206465909,-0.210417300531384,-0.194775051983555,-0.230208577345663,0.845922744292302
80,57,0.251221658208448,-0.351594346567424,-0.0159868264750631,-0.0328751599226331,0.0213439574986036,-0.0418700103564661,-0.0596022763414972,0.206797164600243,0.139331780354912,-0.369820999846254,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.0207439842432221,-0.0310654035565455,0.041515598047843,0.0848324040676171,-0.482991713925205,-0.0224248899836718,-0.0356573672329794,-0.180238228603681,-0.195832022458202,-0.103461032972659,0.420220938727792,-0.158839183129375,-0.538497971509331,-0.125993110037904,-0.132424917870071,-0.205479132318778,-0.22211462072491,-0.240690225443401,0.918939714474001
90,54,0.331041025493475,-0.287199732862608,-0.00771376618188802,-0.0288859917570653,0.0213439574986036,-0.0365137431916229,-0.0596022763414972,0.220480858776438,0.161355420374694,-0.359246810606396,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.015509616305821,-0.0310654035565455,0.041515598047843,0.053993963982975,-0.505800660505069,-0.0422671185808215,-0.0430514194622835,-0.196417787177803,-0.211444234969989,-0.111518080380352,0.411681766504004,-0.144567794513062,-0.488627883402594,-0.113950966505,-0.137644585776567,-0.215886126047447,-0.238046613283053,-0.250296433639395,0.985813265363893
100,61,0.263820399662291,-0.308028839328986,-0.0170874524019802,-0.0288859917570653,0.0197154522367371,-0.0459133127269402,-0.0480941379084269,0.221548506311371,0.161355420374694,-0.359246810606396,-0.00529082757055126,-0.00948682854903164,-0.0277953757633086,-0.015509616305821,-0.0310654035565455,0.041515598047843,0.0543430529562595,-0.576152255030578,-0.0261416484501747,-0.0433423949446598,-0.214811310571355,-0.239247804295773,-0.133978125668553,0.469626345584849,-0.180147715211478,-0.4939745563518,-0.124240997272764,-0.142028320188288,-0.214370848304466,-0.27672212991079,-0.24554148406263,1.04704975268235
